id,rpid,mid,bv,aid,level,nickname,avatar,comment_time,content,content_len,senti_socre,senti_label
1,2055753316,19737661,BV1WE411y7Uk,73190712,v惟韵v,6,https://i1.hdslb.com/bfs/face/a158e08af088ec4ca4fa73b3483d8ff347837da4.jpg,2019-10-25 19:24:06,好开心几位广东的朋友带我北方妹一起唱响这首大湾区的南风起粤语版！激动的无以言表！我是卖荔枝粤剧部分+江门+澳门！希望大家喜欢鸭！！,65,0.9528242109140087,正
2,2055774839,8136821,BV1WE411y7Uk,73190712,星辰微微茫,6,https://i2.hdslb.com/bfs/face/a9ff5ec026d4f3f475bb31860d6124855c552f0b.jpg,2019-10-25 19:33:56,希望香港能重新好起来，粤港澳的繁荣缺一不可[爱心][爱心][爱心],33,0.9999784517689637,正
3,2055960061,78201,BV1WE411y7Uk,73190712,雪霏岚岚,6,http://i0.hdslb.com/bfs/face/5f545c16c7161471ab4e6a54863e93a6ffbc483d.jpg,2019-10-25 20:40:00,"首先感谢广东团团授权翻唱，太有意义的歌了，作为广东人，一定要用自己的方式支持一下！[爱心]
在此感谢各位开火箭一样的速度填坑，特别是里子，后期和伴唱辛苦了！
阿行老师写的词真的很棒，有兴趣的小伙伴欢迎翻唱嗯！",104,0.9999759292342388,正
4,2055751294,18280191,BV1WE411y7Uk,73190712,聪爷Kearney,5,http://i0.hdslb.com/bfs/face/d5884152864c20e867d020f6b76ea6dbb6b39d03.jpg,2019-10-25 19:21:26,哇，廣州我來啦！！,9,0.340216887536821,负
5,2055753342,224669713,BV1WE411y7Uk,73190712,琉盈君,6,https://i1.hdslb.com/bfs/face/f364d9966a8d1486fea22a153f06c629a0ec401f.jpg,2019-10-25 19:24:07,哇，东莞打卡！！,8,0.44445564452792496,负
6,2056147837,314125,BV1WE411y7Uk,73190712,雪霏岗岗,6,https://i1.hdslb.com/bfs/face/ebbab2f1fb51607089ad304ee3186e1dfcd8c3b7.jpg,2019-10-25 21:55:55,"珠海来打卡，有没有？！
广东冲啊！粤搞粤掂水！[洛天依_打尻]",31,0.004406521968662203,负
7,2055799633,112244787,BV1WE411y7Uk,73190712,粤吃粤好味,6,https://i0.hdslb.com/bfs/face/e5faccc45e77e04ed009c319374ca9dec91a944f.jpg,2019-10-25 19:44:07,"🌸前排表白岚聪行琉欣，策划者:广东团团🌸
南越千年事，兴怀一旦来。歌钟非旧俗，烟月有层台。
北望人何在，东流水不回。吹窗风杂瘴，沾槛雨经梅。
壮气曾难揖，空名信可哀。不堪登览处，花落与花开

广州--一座美味的食城。俗话说得好：“食在广州！”，当你走在广州街头，各种各样的美食小吃随处可见:艇仔粥、及第粥、生滚鱼片粥、皮蛋瘦肉粥，豉汁凤爪、萝卜牛杂、香菇炖鸡、豆豉蒸排骨，叉烧包、水晶虾饺、肠粉、流黄包、马蹄糕、马拉糕、萝卜糕、榴莲酥、煎堆、咸水角等等……这些美味的食物你三天三夜都吃不完。
广州--也是一座休闲的旅游圣地:长隆水上乐园和欢乐世界、香江野生动物园、鳄鱼公园、融创、大夫山、白云山、帽峰山、广州塔、珠江桥、陈家祠、、博物馆、图书馆、岭南印象园、百万葵园、中大、暨大、大学城、石室、天河城、时尚天河、天环、正街、万菱汇、东方宝泰等等。
广州是岭南文化的中间地，粤剧是广州地区最有代表性的地方剧，风行于粤、港、澳和东南亚等地区。美丽的广州城因为山清水秀，风光旖旎，繁花似锦，四季如春而又称为“花城”。
继续介绍一下广州，这些美好的字眼都是广州的路名
雅言，执信，寺贝通津，文德，贤思，光孝，培正，如意，西华，龙藏，书坊，秉正，烟雨，晴波，恩宁，仰忠，诗书，德政，定安，江月，明心，净慧，纸行，海月，艺洲，江燕.........一德路，二沙岛，三元里，四牌楼，五仙观，六榕路，七株榕，八旗二马路，九曲巷，十甫路，耀华北约、荷溪三约、宝源中约、泮塘首二三约，
恩宁路被誉为“广州最美老街”，当年恩宁路的一头是恩洲村，另一头是宁溪村，修路必须穿过这两条村，所以才取名“恩宁”。
广州是一座充满人情味的城市，有古朴的街道，有弥香的茶馆，亦有典雅的书吧，你可以沏杯香茗，静静发呆，体会着岭南人那不愠不火的情怀。
关于地铁，《体育西登陆战》《客村围城》《决战岗顶之巅》《广州火车站大冒险》《沦陷公园前》《生化杨箕》《三元里大战僵尸》《独闯珠江新城迷阵》 《攻破昌岗》《激战海珠广场》《杀出江南西》《烈士陵园求生记》《捞头血砍长寿路》《芳村伍永坚精神病患者逃难记》《窖口逃脱记》以上好久之前看到的别人写的！
以上均为收集加自己整理，有说错的地方见谅。
最后，我爱广州-我的家乡，你呢？",940,1.0,正
8,2055763300,424144,BV1WE411y7Uk,73190712,师欣,6,https://i1.hdslb.com/bfs/face/11b4cf475261922e0e443845b62e541636fe32ef.jpg,2019-10-25 19:27:39,出来啦！！！！！好正啊啊啊辛苦大家啊啊啊,20,0.9245066089875108,正
9,2056336572,327533061,BV1WE411y7Uk,73190712,泽林枫,5,https://i0.hdslb.com/bfs/face/4148e8a59f322ea0cb9e93d990c6bf2e5d81774e.jpg,2019-10-25 23:01:43,"广州
穗影上商都隽永
越秀山五羊坚挺
共坐一桌茶香远 碰杯品茗

【注释】穗、五羊：广州象征物

（深圳）
用科技点亮鹏城
活化经济 满怀冲劲
旧客新客竭诚打拼
成就高 因改革牵领

【注释】鹏城：深圳别称

（东莞）
论制造 远近驰名
廿八街镇友邻呼应
义勇威武 炮台取胜
临大海 销烟肃正

【注释】制造：制造业
        炮台：虎门炮台
        销烟：林则徐虎门销烟

（惠州）
仲恺叶挺梦长留  
尽见山峻峭湖清秀
静听小艇里渔歌奏
云下美景当真有

【注释】仲恺、叶挺：廖仲恺和叶挺都是惠州人

（荔枝颂）
身外是张花红被 
肌肤白皙似玉璃   
入口甘美 齿颊留香世上稀 

【注释】荔枝颂：著名粤曲，原唱为红线女

（香港）
五洲客四海友听我唱一首荔枝颂
食块老茶楼嘅蛋黄白莲蓉
喺维港边兜风 中西文化会相碰
铜锣湾人涌 熬出烟火汤味浓

紫荆对你笑 山水孕育明珠嘅芳容
老港记忆 求同存异再交融
少年人当自强 做新时代嘅先锋
狮子山下锋芒 白手搏兴隆 bomb!

【注释】紫荆：香港的市花
        维港：维多利亚港

（佛山）
洪拳练武 体魄更强   
人和醒狮拍住上
秋色佳节尽兴起舞歌唱

满朝气 似太阳
同城交通已亮相
当今广与佛接 新风向

【注释】洪拳：黄飞鸿所属的武术流派
        秋色：秋色巡游
        同城交通：地铁广佛线

（中山）
逸仙为国为人民
共你蹚岭南水镇   
食乳鸽再游小榄 细赏菊韵

【注释】菊韵：小榄有“菊城”的美誉

（江门）
傍海岸岛屿成群  
逛市区 到处侨胞近
食五邑菜教人兴奋 
吟粤曲 花旦哼意蕴

【注释】侨胞近：江门是著名侨乡

（肇庆）
石刻现 七星秀气
砚已端上 细磨真理 
万语千句要提笔撰 向纸    [吃瓜][吃瓜][吃瓜]",771,1.0,正
10,2055753588,209747471,BV1WE411y7Uk,73190712,诗情画意-ao,5,https://i2.hdslb.com/bfs/face/555f9a1f897681f0f78159e5b92c47a5e9df98e5.jpg,2019-10-25 19:24:25,肇庆我来了，肇庆我走了。广州我来了，广州我走了。江门我来了！&lt;－biubiu－⊂(`ω´∩),49,0.9988623281275603,正
