学号,数学,英语,语文,python
1,90,81,84,53
2,90,73,89,69
3,95,59,97,55
4,74,69,54,67
5,72,54,51,99
6,67,99,66,81
7,68,64,82,68
8,70,100,96,89
9,100,68,85,81
10,93,87,73,98
11,86,54,51,98
12,56,73,80,92
13,57,57,52,77
14,68,66,82,50
15,50,79,89,51
16,67,64,61,98
17,77,79,56,50
18,98,95,75,68
19,80,92,95,86
20,73,65,72,90
21,72,73,50,92
22,71,95,73,98
23,83,65,66,69
24,81,87,89,51
25,74,91,83,73
26,58,96,59,57
27,86,67,89,74
28,93,91,54,86
29,88,83,86,60
30,75,75,56,72
31,64,86,70,68
32,62,79,57,54
33,70,69,82,72
34,59,86,62,92
35,79,90,67,60
36,68,78,93,97
37,98,52,78,50
38,71,59,60,76
39,58,91,81,51
40,78,93,65,95
41,97,86,100,79
42,59,68,88,62
43,88,51,50,56
44,86,86,75,84
45,79,68,55,76
46,62,75,78,66
47,70,62,85,72
48,93,100,52,90
49,92,97,66,52
50,80,65,59,54
51,80,96,89,74
52,97,52,75,78
53,59,93,69,77
54,82,87,96,87
55,74,61,82,99
56,76,60,51,79
57,54,75,67,91
58,100,78,79,91
59,82,75,98,77
60,63,55,99,56
61,75,74,92,78
62,83,80,91,81
63,73,74,73,59
64,65,58,61,63
65,63,65,50,86
66,64,90,68,92
67,56,88,95,65
68,64,61,62,57
69,74,99,89,93
70,67,99,84,91
71,98,68,83,87
72,61,59,65,72
73,63,86,96,71
74,66,79,60,61
75,77,98,92,50
76,67,71,99,52
77,92,95,57,80
78,57,73,99,85
79,52,56,93,66
80,52,83,88,64
81,97,61,100,64
82,81,69,100,51
83,83,100,76,57
84,81,57,94,63
85,100,86,66,50
86,65,83,85,82
87,64,64,54,82
88,62,82,96,94
89,72,89,60,66
90,96,90,57,70
91,79,68,86,98
92,59,71,93,93
93,61,72,88,65
94,79,86,57,58
95,83,59,57,65
96,100,74,77,78
97,85,77,83,94
98,73,76,87,79
99,61,81,86,83
100,63,96,53,65
101,59,51,100,75
102,57,100,63,96
103,90,63,86,55
104,56,59,53,86
105,58,96,69,51
106,98,88,82,50
107,73,83,70,63
108,55,71,69,66
109,64,55,77,92
110,65,59,57,50
111,67,72,69,88
112,86,70,78,57
113,89,90,74,65
114,98,62,60,57
115,84,97,84,67
116,72,93,60,61
117,92,60,65,63
118,88,65,98,83
119,57,66,68,91
120,73,60,74,66
121,71,72,90,64
122,88,90,100,95
123,77,59,82,71
124,85,86,78,93
125,63,58,71,57
126,89,51,65,84
127,61,92,64,85
128,53,91,58,55
129,66,56,76,67
130,54,97,89,89
131,92,50,70,82
132,78,82,95,73
133,99,85,50,57
134,85,66,72,57
135,86,91,69,63
136,69,75,74,64
137,77,59,97,84
138,96,72,62,97
139,72,67,97,81
140,58,96,97,81
141,100,60,51,50
142,87,90,55,73
143,53,64,82,99
144,72,50,95,83
145,99,82,57,85
146,64,76,59,89
147,64,52,92,59
148,62,76,88,75
149,77,70,89,59
150,80,71,69,64
151,81,83,99,92
152,95,99,52,82
153,62,81,66,67
154,55,83,71,67
155,84,55,64,68
156,69,99,54,55
157,65,86,61,99
158,56,96,69,58
159,96,60,88,53
160,82,68,99,54
161,90,50,63,55
162,57,53,92,89
163,100,96,92,67
164,99,95,93,94
165,82,55,92,57
166,55,91,94,86
167,67,69,82,94
168,90,97,88,95
169,68,91,68,91
170,76,68,64,80
171,96,100,67,89
172,84,100,59,69
173,92,69,55,70
174,65,87,67,83
175,61,86,75,60
176,61,76,58,92
177,52,51,56,79
178,74,97,50,83
179,74,80,74,85
180,61,89,82,67
181,55,75,75,97
182,67,73,60,74
183,90,55,73,54
184,94,77,70,78
185,66,65,68,97
186,90,84,91,76
187,95,58,97,52
188,55,67,92,80
189,69,70,100,57
190,83,84,95,67
191,88,75,52,93
192,90,94,66,69
193,74,81,86,53
194,56,69,82,87
195,89,52,74,75
196,100,98,82,63
197,72,87,54,78
198,96,53,76,68
199,54,60,56,99
200,70,63,70,95
