duration,movie_image_url,movie_intro,movie_url,rank,rating,rating_count,release_date,subject,title
142,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,　　一场谋杀案使银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼 Morgan Freeman 饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难 之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。,https://movie.douban.com/subject/1292052/,1,9.7,2916336人评价,"1994-09-10(多伦多电影节),1994-10-14(美国)",希望让人自由。,肖申克的救赎
171,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,　　本片根据印度畅销书作家奇坦·巴哈特（Chetan Bhagat）的处女作小说《五点人》（Five Point Someone）改编而成。法兰（马德哈万 R Madhavan 饰）、拉杜（沙曼·乔希 Sharman Joshi 饰）与兰乔（阿米尔·汗 Aamir Khan 饰）是皇家工程学院的学生，三人共居一室，结为好友。在以严格著称的学院里，兰乔是个非常与众不同的学生，他不死记硬背，甚至还公然顶撞校长“病毒”（波曼·伊拉尼 Boman Irani 饰），质疑他的教学方法。他不仅鼓动法兰与拉杜去勇敢追寻理想，还劝说校长的二女儿碧雅（卡琳娜·卡普 Kareena Kapoor 饰）离开满眼铜臭的未婚夫。兰乔的特立独行引起了模范学生“消音器”（奥米·维嘉 Omi Vaidya 饰）的不满，他约定十年后再与兰乔一决高下，看哪种生活方式更能取得成功。,https://movie.douban.com/subject/3793023/,14,9.2,1869059人评价,"2011-12-08(中国大陆),2009-12-25(印度)",英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞
148,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,　　道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层...,https://movie.douban.com/subject/3541415/,10,9.4,2076354人评价,"2010-09-01(中国大陆),2020-08-28(中国大陆重映),2010-07-16(美国)",诺兰给了我们一场无法盗取的梦。,盗梦空间
103,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,　　楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。,https://movie.douban.com/subject/1292064/,11,9.4,1723702人评价,1998-06-05(美国),如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界
165,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,　　本片讲述了一个钢琴天才传奇的一生。,https://movie.douban.com/subject/1292001/,13,9.3,1687017人评价,"2019-11-15(中国大陆),1998-10-28(意大利)",每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师
97,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,　　1949年的法国乡村，音乐家克莱门特（热拉尔·朱尼奥 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗索瓦·贝莱昂 饰）只顾自己的前途，残暴高压。,https://movie.douban.com/subject/1291549/,15,9.3,1319384人评价,"2004-10-16(中国大陆),2022-12-02(中国大陆重映),2004-03-17(法国)",天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天
195,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,　　1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。,https://movie.douban.com/subject/1295124/,9,9.6,1112307人评价,"1993-11-30(华盛顿首映),1994-02-04(美国)",拯救一个人，就是拯救整个世界。,辛德勒的名单
125,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,　　千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。,https://movie.douban.com/subject/1291561/,6,9.4,2258017人评价,"2019-06-21(中国大陆),2001-07-20(日本)",最好的宫崎骏，最好的久石让。 ,千与千寻
110,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,　　里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。,https://movie.douban.com/subject/1295644/,5,9.4,2307657人评价,1994-09-14(法国),怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷
116,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,　　犹太青年圭多（罗伯托·贝尼尼）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。,https://movie.douban.com/subject/1292063/,7,9.6,1333920人评价,"2020-01-03(中国大陆),1997-12-20(意大利)",最美的谎言。,美丽人生
194,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896604953.jpg,　　1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。,https://movie.douban.com/subject/1292722/,4,9.5,2206095人评价,"1998-04-03(中国大陆),2023-04-03(中国大陆重映),1997-11-01(东京电影节),1997-12-19(美国)",失去的才是永恒的。 ,泰坦尼克号
169,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,　　近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes B...,https://movie.douban.com/subject/1889243/,8,9.4,1855328人评价,"2014-11-12(中国大陆),2020-08-02(中国大陆重映),2014-11-07(美国)",爱是一种力量，让我们超越时空感知它的存在。,星际穿越
142,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,　　阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。,https://movie.douban.com/subject/1292720/,3,9.5,2174100人评价,"1994-06-23(洛杉矶首映),1994-07-06(美国)",一部美国近现代史。,阿甘正传
