name,quote,ranking,score,score_num,star
肖申克的救赎,希望让人自由。,1,9.7,2917761,rating5-t
霸王别姬,风华绝代。,2,9.6,2153944,rating5-t
阿甘正传,一部美国近现代史。,3,9.5,2175167,rating5-t
泰坦尼克号,失去的才是永恒的。 ,4,9.5,2207334,rating5-t
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,5,9.4,2308652,rating45-t
千与千寻,最好的宫崎骏，最好的久石让。 ,6,9.4,2259037,rating45-t
美丽人生,最美的谎言。,7,9.6,1334520,rating5-t
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,8,9.4,1857297,rating45-t
辛德勒的名单,拯救一个人，就是拯救整个世界。,9,9.6,1112847,rating5-t
盗梦空间,诺兰给了我们一场无法盗取的梦。,10,9.4,2077890,rating45-t
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,11,9.4,1724864,rating45-t
忠犬八公的故事,永远都不能忘记你所爱的人。,12,9.4,1406532,rating45-t
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,13,9.3,1687773,rating45-t
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,14,9.2,1869854,rating45-t
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,15,9.3,1319974,rating45-t
机器人总动员,小瓦力，大人生。,16,9.3,1324391,rating45-t
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,17,9.2,1953582,rating45-t
无间道,香港电影史上永不过时的杰作。,18,9.3,1373673,rating45-t
控方证人,比利·怀德满分作品。,19,9.6,567230,rating5-t
大话西游之大圣娶亲,一生所爱。,20,9.2,1543054,rating45-t
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,21,9.4,936515,rating45-t
教父,千万不要记恨你的对手，这样会让你失去理智。,22,9.3,974473,rating45-t
触不可及,满满温情的高雅喜剧。,23,9.3,1122234,rating45-t
当幸福来敲门,平民励志片。 ,24,9.2,1529228,rating45-t
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,25,9.3,892289,rating45-t
龙猫,人人心中都有个龙猫，童年就永远不会消失。,26,9.2,1274789,rating45-t
寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,27,9.1,1695393,rating45-t
怦然心动,真正的幸福是来自内心深处。,28,9.1,1844646,rating45-t
活着,张艺谋最好的电影。,29,9.3,850732,rating45-t
蝙蝠侠：黑暗骑士,无尽的黑暗。,30,9.2,1066935,rating45-t
哈利·波特与魔法石,童话世界的开端。,31,9.2,1201764,rating45-t
指环王3：王者无敌,史诗的终章。,32,9.3,808656,rating45-t
我不是药神,对我们国家而言，这样的电影多一部是一部。,33,9.0,2119381,rating45-t
乱世佳人,Tomorrow is another day.,34,9.3,696052,rating45-t
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,35,9.1,1334559,rating45-t
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,36,9.3,691190,rating45-t
哈尔的移动城堡,带着心爱的人在天空飞翔。,37,9.1,1033354,rating45-t
十二怒汉,1957年的理想主义。 ,38,9.4,494452,rating45-t
何以为家,凝视卑弱生命，用电影改变命运。,39,9.1,1051092,rating45-t
摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,40,9.0,1579005,rating45-t
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,41,9.0,1710031,rating45-t
天空之城,对天空的追逐，永不停止。 ,42,9.2,880391,rating45-t
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,43,9.1,1033621,rating45-t
鬼子来了,对敌人的仁慈，就是对自己残忍。,44,9.3,630669,rating45-t
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,45,9.1,1356221,rating45-t
海蒂和爷爷,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,46,9.3,620669,rating45-t
钢琴家,音乐能化解仇恨。,47,9.3,645081,rating45-t
大话西游之月光宝盒,旷古烁今。,48,9.0,1228532,rating45-t
指环王2：双塔奇兵,承前启后的史诗篇章。,49,9.2,758371,rating45-t
闻香识女人,史上最美的探戈。,50,9.1,891101,rating45-t
罗马假日,爱情哪怕只有一天。,51,9.1,955647,rating45-t
死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,52,9.2,732056,rating45-t
绿皮书,去除成见，需要勇气。,53,8.9,1660732,rating45-t
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,54,9.2,681888,rating45-t
大闹天宫,经典之作，历久弥新。,55,9.4,441534,rating45-t
指环王1：护戒使者,传说的开始。,56,9.1,852669,rating45-t
黑客帝国,视觉革命。,57,9.1,842772,rating45-t
教父2,优雅的孤独。,58,9.3,556672,rating45-t
狮子王,动物版《哈姆雷特》。,59,9.1,848326,rating45-t
辩护人,电影的现实意义大过电影本身。,60,9.2,591625,rating45-t
饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,61,9.2,624820,rating45-t
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,62,9.0,850901,rating45-t
美丽心灵,爱是一切逻辑和原由。,63,9.1,773112,rating45-t
本杰明·巴顿奇事,在时间之河里感受溺水之苦。,64,9.0,988185,rating45-t
穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,65,9.2,568949,rating45-t
窃听风暴,别样人生。,66,9.2,567824,rating45-t
情书,暗恋的极致。,67,8.9,1121491,rating45-t
两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,68,9.1,598107,rating45-t
西西里的美丽传说,美丽无罪。,69,8.9,981021,rating45-t
看不见的客人,你以为你以为的就是你以为的。,70,8.8,1277568,rating45-t
音乐之声,用音乐化解仇恨，让歌声串起美好。,71,9.1,606505,rating45-t
阿凡达,绝对意义上的美轮美奂。,72,8.8,1429589,rating45-t
拯救大兵瑞恩,美利坚精神输出大片No1.,73,9.1,650822,rating45-t
哈利·波特与死亡圣器(下),10年的完美句点。,74,9.0,838010,rating45-t
飞越疯人院,自由万岁。,75,9.1,549959,rating45-t
小鞋子,奔跑的孩子是天使。,76,9.2,413515,rating45-t
沉默的羔羊,安东尼·霍普金斯的顶级表演。,77,8.9,895274,rating45-t
布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,78,8.9,941632,rating45-t
禁闭岛,昔日翩翩少年，今日大腹便便。,79,8.9,983658,rating45-t
功夫,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,80,8.8,1142451,rating45-t
蝴蝶效应,人的命运被自己瞬间的抉择改变。,81,8.9,943872,rating45-t
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,82,8.9,864697,rating45-t
哈利·波特与阿兹卡班的囚徒,不一样的导演，不一样的哈利·波特。,83,8.9,737098,rating45-t
心灵捕手,人生中应该拥有这样的一段豁然开朗。,84,8.9,718035,rating45-t
海豚湾,海豚的微笑，是世界上最高明的伪装。,85,9.3,358558,rating45-t
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,86,9.0,605801,rating45-t
低俗小说,故事的高级讲法。,87,8.9,838529,rating45-t
春光乍泄,爱情纠缠，男女一致。,88,9.0,636005,rating45-t
摩登时代,大时代中的人生，小人物的悲喜。,89,9.3,303404,rating45-t
美国往事,往事如烟，无处祭奠。,90,9.2,413144,rating45-t
喜剧之王,我是一个演员。,91,8.8,976283,rating45-t
致命ID,最不可能的那个人永远是最可能的。,92,8.9,830367,rating45-t
杀人回忆,关于连环杀人悬案的集体回忆。,93,8.9,719390,rating45-t
七宗罪,警察抓小偷，老鼠玩死猫。,94,8.8,947193,rating45-t
红辣椒,梦的勾结。,95,9.1,467953,rating45-t
加勒比海盗,约翰尼·德普的独角戏。,96,8.8,864419,rating45-t
哈利·波特与密室,魔法的密室之门已打开...,97,8.9,764385,rating45-t
一一,我们都曾经是一一。,98,9.1,397312,rating45-t
狩猎,人言可畏。,99,9.1,394645,rating45-t
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,100,8.7,1086917,rating45-t
7号房的礼物,《我是山姆》的《美丽人生》。,101,8.9,560495,rating45-t
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,102,8.9,706998,rating45-t
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,103,8.9,727160,rating45-t
断背山,每个人心中都有一座断背山。,104,8.8,710149,rating45-t
剪刀手爱德华,浪漫忧郁的成人童话。,105,8.7,1039046,rating45-t
蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,106,8.8,726232,rating45-t
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,107,8.8,688212,rating45-t
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,108,8.9,670288,rating45-t
勇敢的心,史诗大片的典范。,109,8.9,560714,rating45-t
第六感,深入内心的恐怖，出人意料的结局。,110,8.9,559159,rating45-t
重庆森林,寂寞没有期限。,111,8.8,815737,rating45-t
超能陆战队,Balalala~~~,112,8.7,1020355,rating45-t
幽灵公主,人与自然的战争史诗。,113,8.9,527197,rating45-t
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,114,8.9,565033,rating45-t
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,115,8.9,557790,rating45-t
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,116,8.9,599846,rating45-t
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,117,8.9,557287,rating45-t
消失的爱人,年度最佳date movie。,118,8.7,958397,rating45-t
天使爱美丽,法式小清新。 ,119,8.7,957712,rating45-t
阳光灿烂的日子,一场华丽的意淫。,120,8.8,617338,rating45-t
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,121,9.0,428204,rating45-t
完美的世界,坏人的好总是比好人的好来得更感人。,122,9.1,317070,rating45-t
无人知晓,我的平常生活就是他人的幸福。,123,9.1,321299,rating45-t
倩女幽魂,两张绝世的脸。 ,124,8.8,741945,rating45-t
寄生虫,,125,8.8,1377535,rating45-t
时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,126,8.8,677535,rating45-t
