name,pic,quote,ranking,score,score_num,star,subject
肖申克的救赎,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,希望让人自由。,1,9.7,2920623,rating5-t,https://movie.douban.com/subject/1292052/
霸王别姬,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,风华绝代。,2,9.6,2156137,rating5-t,https://movie.douban.com/subject/1291546/
阿甘正传,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,一部美国近现代史。,3,9.5,2177368,rating5-t,https://movie.douban.com/subject/1292720/
泰坦尼克号,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896604953.jpg,失去的才是永恒的。,4,9.5,2209869,rating5-t,https://movie.douban.com/subject/1292722/
这个杀手不太冷,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,怪蜀黍和小萝莉不得不说的故事。,5,9.4,2310696,rating45-t,https://movie.douban.com/subject/1295644/
千与千寻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,最好的宫崎骏，最好的久石让。,6,9.4,2261276,rating45-t,https://movie.douban.com/subject/1291561/
美丽人生,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,最美的谎言。,7,9.6,1335786,rating5-t,https://movie.douban.com/subject/1292063/
星际穿越,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,爱是一种力量，让我们超越时空感知它的存在。,8,9.4,1861030,rating45-t,https://movie.douban.com/subject/1889243/
辛德勒的名单,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,拯救一个人，就是拯救整个世界。,9,9.6,1114030,rating5-t,https://movie.douban.com/subject/1295124/
盗梦空间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,诺兰给了我们一场无法盗取的梦。,10,9.4,2080729,rating45-t,https://movie.douban.com/subject/3541415/
楚门的世界,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,如果再也不能见到你，祝你早安，午安，晚安。,11,9.4,1727309,rating45-t,https://movie.douban.com/subject/1292064/
忠犬八公的故事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,永远都不能忘记你所爱的人。,12,9.4,1407633,rating45-t,https://movie.douban.com/subject/3011091/
海上钢琴师,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,13,9.3,1689323,rating45-t,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,英俊版憨豆，高情商版谢耳朵。,14,9.2,1871583,rating45-t,https://movie.douban.com/subject/3793023/
放牛班的春天,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,天籁一般的童声，是最接近上帝的存在。,15,9.3,1321315,rating45-t,https://movie.douban.com/subject/1291549/
机器人总动员,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,小瓦力，大人生。,16,9.3,1325622,rating45-t,https://movie.douban.com/subject/2131459/
疯狂动物城,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589742.jpg,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,17,9.2,1956174,rating45-t,https://movie.douban.com/subject/25662329/
无间道,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,香港电影史上永不过时的杰作。,18,9.3,1375270,rating45-t,https://movie.douban.com/subject/1307914/
控方证人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,比利·怀德满分作品。,19,9.6,568505,rating5-t,https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,一生所爱。,20,9.2,1544503,rating45-t,https://movie.douban.com/subject/1292213/
熔炉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,21,9.4,937400,rating45-t,https://movie.douban.com/subject/5912992/
教父,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,千万不要记恨你的对手，这样会让你失去理智。,22,9.3,975612,rating45-t,https://movie.douban.com/subject/1291841/
触不可及,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,满满温情的高雅喜剧。,23,9.3,1124291,rating45-t,https://movie.douban.com/subject/6786002/
当幸福来敲门,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,平民励志片。,24,9.2,1530688,rating45-t,https://movie.douban.com/subject/1849031/
末代皇帝,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,25,9.3,893495,rating45-t,https://movie.douban.com/subject/1293172/
龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,人人心中都有个龙猫，童年就永远不会消失。,26,9.2,1275921,rating45-t,https://movie.douban.com/subject/1291560/
寻梦环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589968.jpg,死亡不是真的逝去，遗忘才是永恒的消亡。,27,9.1,1697683,rating45-t,https://movie.douban.com/subject/20495023/
怦然心动,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,真正的幸福是来自内心深处。,28,9.1,1846495,rating45-t,https://movie.douban.com/subject/3319755/
活着,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,张艺谋最好的电影。,29,9.3,851879,rating45-t,https://movie.douban.com/subject/1292365/
蝙蝠侠：黑暗骑士,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,无尽的黑暗。,30,9.2,1068880,rating45-t,https://movie.douban.com/subject/1851857/
哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,童话世界的开端。,31,9.2,1203422,rating45-t,https://movie.douban.com/subject/1295038/
指环王3：王者无敌,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,史诗的终章。,32,9.3,809637,rating45-t,https://movie.douban.com/subject/1291552/
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,对我们国家而言，这样的电影多一部是一部。,33,9.0,2121458,rating45-t,https://movie.douban.com/subject/26752088/
乱世佳人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,Tomorrow is another day.,34,9.3,696782,rating45-t,https://movie.douban.com/subject/1300267/
飞屋环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589700.jpg,最后那些最无聊的事情，才是最值得怀念的。,35,9.1,1336100,rating45-t,https://movie.douban.com/subject/2129039/
素媛,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,36,9.3,691964,rating45-t,https://movie.douban.com/subject/21937452/
哈尔的移动城堡,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,带着心爱的人在天空飞翔。,37,9.1,1034606,rating45-t,https://movie.douban.com/subject/1308807/
十二怒汉,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,1957年的理想主义。,38,9.4,495131,rating45-t,https://movie.douban.com/subject/1293182/
何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,凝视卑弱生命，用电影改变命运。,39,9.1,1052285,rating45-t,https://movie.douban.com/subject/30170448/
